    Mat, Size, Cbef, Caft, Cdiag, Reduce,-log(1-Reduce), Time,Better,
gre_343,343,1.254E+04,9.442E+03,1.288E+04,0.246972,0.123189,1.478083,1.364E+00,
hor_131,434,4.365E+05,8.362E+04,3.197E+05,0.808423,0.717657,3.846565,3.823E+00,
ibm32,32,1.633E+05,8.383E+04,1.248E+05,0.486670,0.289603,0.131650,1.489E+00,
illc1033,320,4.54E+06,2.175E+06,4.54E+06,0.520966,0.319634,1.358549,2.08735632183908E+00,
    impcol_a,207,2.233E+07,1.613E+07,1.202E+07,0.277622,0.141235,0.395068,7.452E-01,
    impcol_b,59,3.727E+07,1.754E+06,4.031E+06,0.952948,1.327422,0.167633,2.298E+00,
    impcol_c,137,4.736E+07,3.128E+04,6.18E+04,0.999339,3.179799,0.326395,1.97570332480818E+00,
    impcol_d,425,4.25E+06,4.157E+05,8.524E+05,0.902187,1.009603,2.347745,2.051E+00,
    impcol_e,225,2.384E+07,2.028E+01,2.922E+01,0.999999,6.000000,0.997038,1.441E+00,
jgl009,9,3.723E+07,2.892E+07,3.786E+07,0.223225,0.109705,0.089136,1.309E+00,
lshp_265,265,1.927E+06,1.145E+06,1.804E+06,0.405525,0.225866,1.256791,1.576E+00,
lshp_406,406,1.23E+06,9.028E+05,1.148E+06,0.265790,0.134180,2.063599,1.272E+00,
    lund_b,147,4.977E+07,9.277E+04,1.431E+05,0.998136,2.729554,0.775601,1.543E+00,
    mbeacxc,496,2.857E+06,2.172E+06,1.894E+07,0.239616,0.118967,5.161266,8.720E+00,
    mbeaflw,496,5.82E+06,1.068E+05,3.381E+06,0.981656,1.736506,8.130244,3.166E+01,
    mbeause,496,7.052E+06,1.249E+05,4.015E+06,0.982292,1.751830,8.919944,3.215E+01,
nnc261,261,1.652E+07,3.333E+06,5.758E+06,0.798272,0.695234,1.181010,1.728E+00,
nos4,100,2.492E+06,1.096E+06,1.136E+06,0.559997,0.356544,0.230104,1.036E+00,
nos5,468,2.975E+07,1.447E+06,1.555E+06,0.951367,1.313069,7.251103,1.075E+00,
plat362,362,5.995E+05,5.944E+05,7.967E+05,0.008550,0.003729,1.877958,1.340E+00,
plskz362,362,7.743E+05,6.933E+05,8.058E+05,0.104524,0.047946,1.290407,1.162E+00,
pores_1,30,2.774E+07,4.481E+06,7.514E+06,0.838435,0.791653,0.128902,1.677E+00,
str_0,363,7.511E+04,1.47E+04,4.686E+03,0.804285,0.708376,0.788147,3.18775510204082E-01,
str_200,363,1.371E+07,4.065E+05,7.715E+05,0.970347,1.527931,2.368018,1.898E+00,
str_400,363,1.912E+07,5.322E+06,1.067E+06,0.721693,0.555476,0.836974,2.005E-01,
str_600,363,1.184E+07,4.537E+05,1.212E+06,0.961681,1.416586,2.305290,2.671E+00,
west0067,67,1.696E+04,5.903E+03,7.326E+03,0.651885,0.458277,0.160354,1.241E+00,
west0132,132,4.772E+07,4.199E+02,7.208E+02,0.999991,5.045757,0.278596,1.717E+00,
west0167,167,4.772E+07,8.476E+02,1.147E+03,0.999982,4.744727,0.396684,1.353E+00,
west0381,381,2.245E+07,2.068E+02,4.687E+02,0.999991,5.045757,3.711164,2.266E+00,
west0479,479,4.737E+07,1.252E+03,2.064E+03,0.999974,4.585027,2.245246,1.649E+00,
west0497,497,5.54E+07,2.286E+03,4.163E+03,0.999959,4.387216,2.031159,1.821E+00,
will199,199,1.926E+07,1.085E+07,1.553E+07,0.436279,0.248936,0.502647,1.431E+00,
will57,57,3.781E+07,2.533E+07,6.034E+07,0.330104,0.173993,0.141474,2.382E+00,
